"configuration","problem","model","data_file","status","time","propagations","nodes","flatIntVars","randomSeed","peakDepth","solveTime","propagators","backjumps","boolVariables","nogoods","flatBoolConstraints","trailMem","initTime","evaluatedHalfReifiedConstraints","method","nSolutions","processFlatZincTime","flatTime","peakMem","evaluatedReifiedConstraints","flatIntConstraints","paths","solutions","baseMem","flatBoolVars","restarts","failures","intVars","variables","run"
"gecode","knights","knights.mzn","n=10;m=10;holes={}","SATISFIED","0.11690571205690503","189","85","98","","75","0.007946","1","","","","","","0.000633","","satisfy","1","","0.056191","","","1","0","1","","","0","8","","100","raw"
"gecode","knights","knights.mzn","n=18;m=18;holes={}","SATISFIED","0.1397324160207063","571","289","322","","273","0.02717","1","","","","","","0.001483","","satisfy","1","","0.065234","","","1","0","1","","","0","10","","324","raw"
"chuffed","knights","knights.mzn","n=16;m=16;holes={}","SATISFIED","0.8188886219868436","895594","345","762","1630465330","200","0.301","1016","109","264463","36","255","1.41","0.27","254","satisfy","1","","0.109986","0.0","255","1018","0","","0.0","509","0","36","1019","265484","raw"
"chuffed","knights","knights.mzn","n=08;m=08;holes={}","SATISFIED","0.19628748099785298","20504","59","186","1630465330","37","0.009","248","13","16783","8","63","0.08","0.019","62","satisfy","1","","0.070571","0.0","63","250","0","","0.0","125","0","8","251","17036","raw"
"gecode","knights","knights.mzn","n=22;m=22;holes={}","SATISFIED","2.749419035972096","184248","99792","482","","442","2.63999","1","","","","","","0.002011","","satisfy","1","","0.055406","","","1","0","1","","","0","49685","","484","raw"
"picat_sat","knights","knights.mzn","n=22;m=22;holes={}","SATISFIED","41.328790017054416","","","482","","","41.182954181102104","","","","","","","","","satisfy","1","0.08460383595231175","0.061232","","","1","0","","","","","","","","raw"
"chuffed","knights","knights.mzn","n=10;m=10;holes={}","SATISFIED","0.22142293502110988","82463","119","294","1630465330","63","0.022","392","35","40735","20","99","0.19","0.042","98","satisfy","1","","0.07494","0.0","99","394","0","","0.0","197","0","20","395","41132","raw"
"gecode","knights","knights.mzn","n=14;m=14;holes={}","SATISFIED","0.11815310991369188","402","197","194","","159","0.014438","1","","","","","","0.000922","","satisfy","1","","0.059821","","","1","0","1","","","0","22","","196","raw"
"gecode","knights","knights.mzn","n=20;m=20;holes={}","SATISFIED","0.13796683202963322","812","411","398","","352","0.037566","1","","","","","","0.002313","","satisfy","1","","0.052793","","","1","0","1","","","0","30","","400","raw"
"picat_sat","knights","knights.mzn","n=18;m=18;holes={}","SATISFIED","10.068836429039948","","","322","","","9.923000593087636","","","","","","","","","satisfy","1","0.07559483595231176","0.070241","","","1","0","","","","","","","","raw"
"picat_sat","knights","knights.mzn","n=14;m=14;holes={}","SATISFIED","7.766508613945916","","","194","","","7.6206727779936045","","","","","","","","","satisfy","1","0.07956183595231175","0.066274","","","1","0","","","","","","","","raw"
"chuffed","knights","knights.mzn","n=18;m=18;holes={}","SATISFIED","1.3898197090020403","1681375","455","966","1630465330","261","0.662","1288","136","422943","60","323","2.11","0.437","322","satisfy","1","","0.118726","0.0","323","1290","0","","0.0","645","0","60","1291","424236","raw"
"gecode","knights","knights.mzn","n=08;m=08;holes={}","SATISFIED","0.10539055697154254","182","96","62","","42","0.006911","1","","","","","","0.001201","","satisfy","1","","0.051912","","","1","0","1","","","0","28","","64","raw"
"gecode","knights","knights.mzn","n=16;m=16;holes={}","SATISFIED","0.22455636295489967","11923","6707","254","","227","0.110927","1","","","","","","0.001121","","satisfy","1","","0.061974","","","1","0","1","","","0","3247","","256","raw"
"chuffed","knights","knights.mzn","n=12;m=12;holes={}","SATISFIED","0.30216148402541876","194599","180","426","1630465330","103","0.053","568","56","84111","21","143","0.42","0.087","142","satisfy","1","","0.083426","0.0","143","570","0","","0.0","285","0","21","571","84684","raw"
"picat_sat","knights","knights.mzn","n=16;m=16;holes={}","SATISFIED","7.7562079729977995","","","254","","","7.610372137045488","","","","","","","","","satisfy","1","0.07972483595231175","0.066111","","","1","0","","","","","","","","raw"
"chuffed","knights","knights.mzn","n=22;m=22;holes={}","SATISFIED","4.207259741029702","5192056","732","1446","1630465332","406","2.746","1928","241","941791","86","483","3.16","1.044","482","satisfy","1","","0.12317","0.0","483","1930","0","","0.0","965","0","86","1931","943724","raw"
"picat_sat","knights","knights.mzn","n=10;m=10;holes={}","SATISFIED","0.236235998920165","","","98","","","0.09040016296785325","","","","","","","","","satisfy","1","0.08129983595231176","0.064536","","","1","0","","","","","","","","raw"
"picat_sat","knights","knights.mzn","n=12;m=12;holes={}","SATISFIED","5.815015795058571","","","142","","","5.669179959106259","","","","","","","","","satisfy","1","0.08116083595231176","0.064675","","","1","0","","","","","","","","raw"
"picat_sat","knights","knights.mzn","n=08;m=08;holes={}","SATISFIED","0.22307300893589854","","","62","","","0.07723717298358679","","","","","","","","","satisfy","1","0.08653383595231176","0.059302","","","1","0","","","","","","","","raw"
"chuffed","knights","knights.mzn","n=14;m=14;holes={}","SATISFIED","0.48513436201028526","438995","246","582","1630465330","147","0.132","776","70","155359","31","195","0.63","0.16","194","satisfy","1","","0.094787","0.0","195","778","0","","0.0","389","0","31","779","156140","raw"
"gecode","knights","knights.mzn","n=12;m=12;holes={}","SATISFIED","0.11321074003353715","224","113","142","","111","0.010197","1","","","","","","0.000739","","satisfy","1","","0.057692","","","1","0","1","","","0","1","","144","raw"
"chuffed","knights","knights.mzn","n=20;m=20;holes={}","SATISFIED","2.3269364240113646","2949788","539","1194","1630465332","336","1.306","1592","167","643855","36","399","3.16","0.69","398","satisfy","1","","0.11121","0.0","399","1594","0","","0.0","797","0","36","1595","645452","raw"
"picat_sat","knights","knights.mzn","n=20;m=20;holes={}","SATISFIED","15.96480110194534","","","398","","","15.818965265993029","","","","","","","","","satisfy","1","0.09056283595231175","0.055273","","","1","0","","","","","","","","raw"
