"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","method","trailMem","propagators","solveTime","propagations","intVars","run","flatIntVars","flatTime","backjumps","nodes","optTime","randomSeed","flatIntConstraints","boolVariables","nSolutions","variables","flatBoolVars","peakMem","paths","solutions","restarts","failures","processFlatZincTime","baseMem","nogoods","flatBoolConstraints","initTime","peakDepth","objective","evaluatedHalfReifiedConstraints"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_2.dzn","OPTIMAL_SOLUTION","90.76050121500157","29","maximize","","259","90.6533","470120141","","raw","181","0.051954","","4784084","","","247","","15","302","118","","0","15","0","2391959","","","","59","0.002724","55","1053","118"
"chuffed","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","SATISFIED","600.1559411919443","88","maximize","","","","","","raw","209","0.055945","","","","","275","","10","","118","","0","","","","","","","59","","","1058","59"
"gecode","orienteering","orienteering-control.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","0.17234990105498582","14","maximize","","124","0.070118","201585","","raw","91","0.048563","","3664","","","127","","11","152","58","","0","11","0","1815","","","","29","0.007237","26","691","58"
"gecode","orienteering","orienteering-control.mzn","orienteering_t_hard_1.dzn","OPTIMAL_SOLUTION","0.2867346149869263","99","maximize","","889","0.139268","552047","","raw","601","0.079263","","5711","","","807","","2","1002","398","","0","2","0","2816","","","","199","0.009954","106","4783","398"
"chuffed","orienteering","orienteering-control.mzn","orienteering_t_hard_1.dzn","SATISFIED","600.206608516979","298","maximize","","","","","","raw","699","0.093957","","","","","905","","3","","398","","0","","","","","","","199","","","4574","199"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","SATISFIED","600.0463759200647","29","maximize","","259","599.942","2971853131","","raw","181","0.05241","","29832342","","","247","","24","302","118","","0","24","0","14916068","","","","59","0.002777","59","1367","118"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_3.dzn","SATISFIED","600.1433207730297","28","maximize","","","600.0194593520137","","","raw","88","0.046722","","","","","89","","3","","28","","0","","","","0.07713942101604492","","","","","","943",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","OPTIMAL_SOLUTION","221.2693341189297","88","maximize","0.63","333","221.126","220743375","241","raw","209","0.054807","35227","812272","221.126","1630739186","275","9778","24","10021","118","0.0","0","","1497","752198","","0.0","752198","59","0.013","66","1481","59"
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","0.10609863104764372","43","maximize","0.28","168","0.008","7604","121","raw","104","0.049331","19","91","0.008","1630739141","140","2399","1","2522","58","0.0","0","","1","62","","0.0","62","29","0.004","12","628","29"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_5.dzn","SATISFIED","600.0507530709729","29","maximize","","259","599.943","2877117243","","raw","181","0.051772","","29736837","","","247","","30","302","118","","0","30","0","14868326","","","","59","0.002724","57","1030","118"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_t_hard_1.dzn","UNKNOWN","600.178319543018","95","maximize","","","","","","raw","295","0.057454","","","","","293","","0","","95","","0","","","","","","","","","","",""
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_5.dzn","OPTIMAL_SOLUTION","330.28579539398197","28","maximize","","","330.1619339729659","","","raw","88","0.045963","","","","","89","","5","","28","","0","","","","0.07789842101604491","","","","","","1035",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","0.21387980901636183","43","maximize","0.28","168","0.101","233813","121","raw","104","0.059243","316","2475","0.042","1630739153","140","2516","2","2639","58","0.0","0","","13","2081","","0.0","2081","29","0.004","20","691","29"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","OPTIMAL_SOLUTION","57.62391298706643","29","maximize","","259","57.5145","304662500","","raw","181","0.05248","","3026306","","","247","","23","302","118","","0","23","0","1513024","","","","59","0.002817","66","832","118"
"gecode","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","0.18570627202279866","14","maximize","","124","0.076472","339729","","raw","91","0.046501","","5567","","","127","","4","152","58","","0","4","0","2778","","","","29","0.007598","21","445","58"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","SATISFIED","600.0459826040315","29","maximize","","259","599.943","2928775821","","raw","181","0.051359","","27989375","","","247","","34","302","118","","0","34","0","13994529","","","","59","0.00271","68","1007","118"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_5.dzn","OPTIMAL_SOLUTION","61.94040359405335","29","maximize","","259","61.8272","315194481","","raw","181","0.053385","","3135781","","","247","","11","302","118","","0","11","0","1567842","","","","59","0.002852","55","771","118"
"chuffed","orienteering","orienteering-control.mzn","orienteering_n_medium_5.dzn","SATISFIED","600.1617866549641","88","maximize","","","","","","raw","209","0.055593","","","","","275","","16","","118","","0","","","","","","","59","","","769","59"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","OPTIMAL_SOLUTION","87.73714365204796","28","maximize","","","87.61328223103192","","","raw","88","0.046208","","","","","89","","6","","28","","0","","","","0.07765342101604492","","","","","","1618",""
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","24.694247036008164","13","maximize","","","24.57038561499212","","","raw","43","0.042585","","","","","44","","4","","13","","0","","","","0.08127642101604492","","","","","","445",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","SATISFIED","600.1443356189411","88","maximize","","","","","","raw","209","0.053208","","","","","275","","10","","118","","0","","","","","","","59","","","1347","59"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_t_hard_2.dzn","UNKNOWN","600.1689326700289","98","maximize","","","","","","raw","298","0.058032","","","","","299","","0","","98","","0","","","","","","","","","","",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_n_medium_3.dzn","SATISFIED","600.1498026869958","88","maximize","","","","","","raw","209","0.055661","","","","","275","","10","","118","","0","","","","","","","59","","","870","59"
"chuffed","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","SATISFIED","600.1571663729846","88","maximize","","","","","","raw","209","0.05577","","","","","275","","8","","118","","0","","","","","","","59","","","799","59"
"gecode","orienteering","orienteering-control.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","0.24202468001749367","14","maximize","","124","0.132123","571943","","raw","91","0.045949","","8167","","","127","","15","152","58","","0","15","0","4062","","","","29","0.007666","21","628","58"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","SATISFIED","600.0613015469862","29","maximize","","259","599.946","2802998537","","raw","181","0.049772","","29937388","","","247","","29","302","118","","0","29","0","14968578","","","","59","0.008506","55","1335","118"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_4.dzn","OPTIMAL_SOLUTION","510.5618977090344","28","maximize","","","510.43803628801834","","","raw","88","0.042827","","","","","89","","4","","28","","0","","","","0.08103442101604491","","","","","","832",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","8.839841500972398","43","maximize","0.28","168","8.733","6277927","121","raw","104","0.049678","1944","60789","8.711","1630739157","140","2640","10","2763","58","0.0","0","","167","57519","","0.0","57519","29","0.004","24","545","29"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_1.dzn","OPTIMAL_SOLUTION","60.69752227002755","28","maximize","","","60.5736608490115","","","raw","88","0.046939","","","","","89","","6","","28","","0","","","","0.0769224210160449","","","","","","1481",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_5.dzn","SATISFIED","600.155678047915","88","maximize","","","","","","raw","209","0.055596","","","","","275","","27","","118","","0","","","","","","","59","","","1030","59"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","18.558509328053333","13","maximize","","","18.434647907037288","","","raw","43","0.044556","","","","","44","","4","","13","","0","","","","0.07930542101604492","","","","","","691",""
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","26.85303760599345","13","maximize","","","26.729176184977405","","","raw","43","0.044004","","","","","44","","4","","13","","0","","","","0.07985742101604491","","","","","","545",""
"picat_sat","orienteering","orienteering-control.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","21.004785235971212","13","maximize","","","20.880923814955167","","","raw","43","0.043578","","","","","44","","5","","13","","0","","","","0.08028342101604491","","","","","","628",""
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","OPTIMAL_SOLUTION","270.95287903700955","29","maximize","","259","270.853","1325709723","","raw","181","0.051656","","14488879","","","247","","21","302","118","","0","21","0","7244329","","","","59","0.002703","54","1062","118"
"chuffed","orienteering","orienteering-control.mzn","orienteering_n_medium_2.dzn","SATISFIED","600.1486968470272","88","maximize","","","","","","raw","209","0.055031","","","","","275","","15","","118","","0","","","","","","","59","","","912","59"
"chuffed","orienteering","orienteering-control.mzn","orienteering_t_hard_5.dzn","SATISFIED","600.220636315993","298","maximize","","","","","","raw","699","0.093224","","","","","905","","1","","398","","0","","","","","","","199","","","229","199"
"gecode","orienteering","orienteering-control.mzn","orienteering_n_medium_3.dzn","OPTIMAL_SOLUTION","24.741896883002482","29","maximize","","259","24.6381","133753239","","raw","181","0.051629","","1301821","","","247","","12","302","118","","0","12","0","650842","","","","59","0.002741","58","943","118"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_t_hard_5.dzn","UNKNOWN","600.1606372140814","95","maximize","","","","","","raw","295","0.056494","","","","","293","","0","","95","","0","","","","","","","","","","",""
"chuffed","orienteering","orienteering-control.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","0.29122346197254956","43","maximize","0.28","168","0.192","424911","121","raw","104","0.049227","510","4739","0.078","1630739169","140","2558","2","2681","58","0.0","0","","18","4094","","0.0","4094","29","0.004","19","445","29"
"chuffed","orienteering","orienteering-control.mzn","orienteering_t_hard_2.dzn","UNKNOWN","600.2122649470111","298","maximize","","","","","","raw","699","0.092795","","","","","905","","0","","398","","0","","","","","","","199","","","","199"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_2.dzn","SATISFIED","600.1485380260274","28","maximize","","","600.0246766050113","","","raw","88","0.044304","","","","","89","","3","","28","","0","","","","0.0795574210160449","","","","","","1053",""
"gecode","orienteering","orienteering-control.mzn","orienteering_t_hard_2.dzn","OPTIMAL_SOLUTION","0.21425429394003004","99","maximize","","889","0.058618","153244","","raw","601","0.079446","","1607","","","807","","2","1002","398","","0","2","0","762","","","","199","0.016925","107","4850","398"
"gecode","orienteering","orienteering-control.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","0.23039836005773395","14","maximize","","124","0.131699","591155","","raw","91","0.04602","","8813","","","127","","10","152","58","","0","10","0","4393","","","","29","0.007361","21","545","58"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","SATISFIED","600.099256712012","28","maximize","","","599.975395290996","","","raw","88","0.043435","","","","","89","","5","","28","","0","","","","0.08042642101604491","","","","","","1061",""
"gecode","orienteering","orienteering-control.mzn","orienteering_t_hard_5.dzn","OPTIMAL_SOLUTION","0.4985747030004859","99","maximize","","889","0.340589","1339020","","raw","601","0.081241","","18090","","","807","","2","1002","398","","0","2","0","9004","","","","199","0.015741","107","4482","398"
"chuffed","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","SATISFIED","600.1628442039946","88","maximize","","","","","","raw","209","0.052988","","","","","275","","8","","118","","0","","","","","","","59","","","985","59"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_5.dzn","OPTIMAL_SOLUTION","500.67569199798163","28","maximize","","","500.5518305769656","","","raw","88","0.046781","","","","","89","","5","","28","","0","","","","0.07708042101604491","","","","","","771",""
"picat_sat","orienteering","orienteering-control.mzn","orienteering_medium_4.dzn","SATISFIED","600.0481569010299","28","maximize","","","599.9242954800138","","","raw","88","0.046221","","","","","89","","5","","28","","0","","","","0.07764042101604492","","","","","","1190",""
